Cycle Length,Green Time Phase 1,Green Time Phase 2,ETT
88,13,63,50972.68
88,13,63,50972.68
88,13,63,50972.68
88,31,45,41319.92
88,13,63,50972.68
120,37,71,62494.8
95,23,60,50945.89
95,23,60,50945.89
95,43,40,40220.59
106,26,68,57722.01
106,26,68,57722.01
78,18,48,40668.71
78,18,48,40668.71
78,18,48,40668.71
83,19,52,43943.77
78,18,48,40668.71
78,18,48,40668.71
78,18,48,40668.71
78,18,48,40668.71
78,18,48,40668.71
78,18,48,40668.71
78,18,48,40668.71
78,18,48,40668.71
78,18,48,40668.71
78,18,48,40668.71
78,18,48,40668.71
97,23,62,52470.42
78,18,48,40668.71
78,18,48,40668.71
78,18,48,40668.71
78,18,48,40668.71
117,29,76,64498.13
78,18,48,40668.71
78,36,30,31015.94
78,18,48,40668.71
60,13,35,29629.27
78,18,48,40668.71
60,13,35,29629.27
78,18,48,40668.71
78,18,48,40668.71
78,18,48,40668.71
78,18,48,40668.71
71,16,43,36405.39
78,23,43,37987.39
78,26,40,36378.59
117,29,76,64498.13
78,27,39,35842.33
86,20,54,45694.3
78,21,45,39059.92
106,26,68,57722.01
78,18,48,40668.71
78,18,48,40668.71
78,18,48,40668.71
78,18,48,40668.71
78,18,48,40668.71
78,18,48,40668.71
78,18,48,40668.71
78,27,39,35842.33
78,18,48,40668.71
78,18,48,40668.71
78,18,48,40668.71
78,18,48,40668.71
78,18,48,40668.71
78,35,31,31552.21
78,18,48,40668.71
78,18,48,40668.71
78,33,33,32624.74
78,13,53,43350.04
78,18,48,40668.71
78,18,48,40668.71
78,33,33,32624.74
78,18,48,40668.71
78,18,48,40668.71
78,18,48,40668.71
78,18,48,40668.71
104,25,67,56733.74
78,18,48,40668.71
78,18,48,40668.71
78,31,35,33697.27
78,18,48,40668.71
78,18,48,40668.71
78,18,48,40668.71
78,18,48,40668.71
78,26,40,36378.59
78,18,48,40668.71
78,18,48,40668.71
78,18,48,40668.71
78,18,48,40668.71
78,18,48,40668.71
78,18,48,40668.71
78,33,33,32624.74
78,18,48,40668.71
60,13,35,29629.27
78,23,43,37987.39
77,18,47,39906.45
78,18,48,40668.71
78,18,48,40668.71
88,21,55,46682.57
78,23,43,37987.39
60,13,35,29629.27
78,18,48,40668.71
78,18,48,40668.71
65,14,39,32904.33
78,13,53,43350.04
78,26,40,36378.59
78,31,35,33697.27
78,18,48,40668.71
78,18,48,40668.71
78,18,48,40668.71
78,18,48,40668.71
78,18,48,40668.71
78,18,48,40668.71
78,21,45,39059.92
78,35,31,31552.21
104,25,67,56733.74
104,61,31,37428.21
104,25,67,56733.74
104,25,67,56733.74
104,36,56,50834.83
104,25,67,56733.74
104,25,67,56733.74
104,25,67,56733.74
104,25,67,56733.74
75,17,46,38918.18
104,25,67,56733.74
104,31,61,53516.15
104,25,67,56733.74
104,25,67,56733.74
104,25,67,56733.74
104,25,67,56733.74
98,23,63,53232.68
104,25,67,56733.74
104,25,67,56733.74
104,25,67,56733.74
104,25,67,56733.74
104,31,61,53516.15
104,25,67,56733.74
104,25,67,56733.74
104,25,67,56733.74
104,25,67,56733.74
104,25,67,56733.74
104,25,67,56733.74
104,22,70,58342.54
104,25,67,56733.74
104,38,54,49762.3
104,25,67,56733.74
104,25,67,56733.74
104,25,67,56733.74
69,15,42,35417.12
104,25,67,56733.74
104,25,67,56733.74
104,25,67,56733.74
104,25,67,56733.74
104,25,67,56733.74
104,25,67,56733.74
104,30,62,54052.42
104,25,67,56733.74
104,25,67,56733.74
104,25,67,56733.74
104,25,67,56733.74
104,25,67,56733.74
104,25,67,56733.74
104,25,67,56733.74
69,15,42,35417.12
104,43,49,47080.98
104,25,67,56733.74
104,25,67,56733.74
104,25,67,56733.74
104,25,67,56733.74
104,25,67,56733.74
104,25,67,56733.74
104,25,67,56733.74
104,25,67,56733.74
104,25,67,56733.74
104,25,67,56733.74
104,31,61,53516.15
104,25,67,56733.74
104,25,67,56733.74
104,25,67,56733.74
104,25,67,56733.74
104,29,63,54588.68
104,25,67,56733.74
104,36,56,50834.83
104,25,67,56733.74
104,25,67,56733.74
88,21,55,46682.57
104,25,67,56733.74
104,36,56,50834.83
115,28,75,63509.86
104,25,67,56733.74
104,25,67,56733.74
104,25,67,56733.74
104,25,67,56733.74
104,25,67,56733.74
104,25,67,56733.74
104,61,31,37428.21
98,23,63,53232.68
104,38,54,49762.3
104,25,67,56733.74
104,25,67,56733.74
