C,g1,g2,ett
87,42,33,34658.74
90,43,35.01230426446752,36418.64
90,46,31.84031343172464,34678.91
90,46,31.958522135606813,34768.9
90,46,31.958522135606813,34768.9
90,46,31.958522135606813,34768.9
90,46,31.958522135606813,34768.9
90,46,31.958522135606813,34768.9
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999257851556578,34799.91
90,46,31.999294772374085,34799.94
90,46,31.999294772374085,34799.94
90,46,31.999294772374085,34799.94
90,46,31.999294772374085,34799.94
90,46,31.999964762312487,34800.45
90,46,31.999964762312487,34800.45
90,46,31.999964762312487,34800.45
90,46,31.999964762312487,34800.45
90,46,31.999964762312487,34800.45
90,46,31.999964762312487,34800.45
90,46,31.999964762312487,34800.45
90,46,31.999964762312487,34800.45
90,46,31.999964762312487,34800.45
90,46,31.999964762312487,34800.45
90,46,31.999964762312487,34800.45
90,46,31.999964762312487,34800.45
90,46,31.999964762312487,34800.45
90,46,31.999964762312487,34800.45
90,46,31.999964762312487,34800.45
90,46,31.999964762312487,34800.45
90,46,31.999964762312487,34800.45
90,46,31.999964762312487,34800.45
90,46,31.99999577151192,34800.47
90,46,31.99999577151192,34800.47
90,46,31.99999577151192,34800.47
90,46,31.99999577151192,34800.47
90,46,31.99999577151192,34800.47
90,46,31.99999577151192,34800.47
90,46,31.99999577151192,34800.47
90,46,31.99999577151192,34800.47
90,46,31.99999577151192,34800.47
90,46,31.99999577151192,34800.47
90,46,31.99999577151192,34800.47
90,46,31.99999577151192,34800.47
90,46,31.99999577151192,34800.47
90,46,31.99999577151192,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,32,34800.47
90,46,31.999999999999844,34800.47
90,46,31.999999999999844,34800.47
90,46,31.999999999999844,34800.47
90,46,31.999999999999844,34800.47
90,46,31.999999999999844,34800.47
90,46,31.999999999999844,34800.47
90,46,31.999999999999844,34800.47
90,46,31.999999999999844,34800.47
90,46,31.999999999999844,34800.47
90,46,31.999999999999844,34800.47
90,46,31.999999999999844,34800.47
90,46,31.999999999999844,34800.47
90,46,31.999999999999844,34800.47
90,46,31.999999999999844,34800.47
90,46,31.999999999999844,34800.47
90,46,31.999999999999844,34800.47
90,46,31.999999999999844,34800.47
90,46,31.999999999999844,34800.47
90,46,31.999999999999844,34800.47
90,46,31.999999999999844,34800.47
90,46,31.999999999999844,34800.47
90,46,31.999999999999844,34800.47
